"dyad","partner","id","phase","time","timephase","timephase.r","ibi.basec","b.ibi.basec"
666,"B","666.B","malereceive",119,29,28,-42.5844107666667,11.2739942000001
666,"B","666.B","malereceive",120,30,29,6.72987523333336,35.9663022000001
628,"A","628.A","goal",31,1,0,76.9193189333333,14.3669105666668
628,"A","628.A","goal",32,2,1,48.6116269333334,-12.7100124333333
628,"A","628.A","goal",33,3,2,40.6830559333333,-18.2484734333333
628,"A","628.A","goal",34,4,3,72.6885499333333,-15.7100124333333
628,"A","628.A","goal",35,5,4,28.3973409333333,-19.5012214333333
628,"A","628.A","goal",36,6,5,33.2544839333334,13.3797315666667
628,"A","628.A","goal",37,7,6,52.4687699333333,-11.7869354333333
628,"A","628.A","goal",38,8,7,32.8259129333334,3.67460256666675
628,"A","628.A","goal",39,9,8,77.3039349333334,-15.5561664333333
628,"A","628.A","goal",40,10,9,41.0401979333334,-31.2484734333333
628,"A","628.A","goal",41,11,10,43.7654729333334,-23.7100124333333
628,"A","628.A","goal",42,12,11,36.8973409333333,-41.1440784333332
628,"A","628.A","goal",43,13,12,-6.65504006666663,4.13614156666677
628,"A","628.A","goal",44,14,13,-15.7217060666667,-21.5561664333333
628,"A","628.A","goal",45,15,14,-38.5133730666666,15.7515265666667
628,"A","628.A","goal",46,16,15,0.278293933333316,3.98229556666672
628,"A","628.A","goal",47,17,16,-18.7883730666666,-5.24847343333329
628,"A","628.A","goal",48,18,17,-20.6550400666666,30.2130645666667
628,"A","628.A","goal",49,19,18,-4.4550400666667,-6.55616643333326
628,"A","628.A","goal",50,20,19,13.2782939333333,-19.7869354333333
628,"A","628.A","goal",51,21,20,14.3259129333334,16.5463975666668
628,"A","628.A","goal",52,22,21,39.3973409333333,-16.7100124333333
628,"A","628.A","goal",53,23,22,34.0401979333334,-13.7869354333333
628,"A","628.A","goal",54,24,23,89.8423959333334,-10.4023204333332
628,"A","628.A","goal",55,25,24,65.6885499333333,-9.7100124333333
628,"A","628.A","goal",56,26,25,44.7544839333334,-33.6330894333332
628,"A","628.A","goal",57,27,26,21.9687699333333,-28.9297924333333
628,"A","628.A","goal",58,28,27,75.7654729333334,-18.0946274333332
